site_id,type,count
192,Petrified Wood,5
193,White Chert,8
193,Red Chert,3
193,Dacite,3
193,Chinle Chert,5
193,Rhyolite,6
193,Obsidian,10
194,White Chert,7
194,Red Chert,2
194,Red/White Chert,1
194,Chinle Chert,7
194,Rhyolite,4
194,Obsidian,18
195,White Chert,9
195,Red Chert,2
195,Gray Chert,5
195,Dacite,5
195,Obsidian,9
196,White Chert,7
196,Red Chert,1
196,Gray Chert,3
196,Obsidian,6
197,White Chert,11
197,Red Chert,4
197,Gray Chert,6
197,Obsidian,7
198,White Chert,9
198,Red Chert,7
198,Gray Chert,4
198,Red/White Chert,5
198,Obsidian,9
199,White Chert,3
199,Red Chert,9
199,Gray Chert,7
199,Red/White Chert,5
199,Yellow Chert,4
199,Chinle Chert,3
199,Obsidian,2
200,White Chert,3
200,Red Chert,7
200,Gray Chert,3
200,Red/White Chert,9
200,Yellow Chert,3
200,Petrified Wood,3
201,White Chert,3
201,Red Chert,9
201,Red/White Chert,11
201,Yellow Chert,4
201,Petrified Wood,3
202,White Chert,20
202,Red Chert,7
203,White Chert,28
203,Red Chert,4
204,White Chert,31
204,Red Chert,3
205,White Chert,39
205,Red Chert,4
206,White Chert,19
206,Red Chert,4
206,Gray Chert,8
206,Red/White Chert,3
206,Obsidian,8
207,White Chert,9
207,Red Chert,3
207,Gray Chert,3
207,Red/White Chert,4
207,Obsidian,9
207,Petrified Wood,4
208,White Chert,12
208,Obsidian,8
209,White Chert,6
209,Red Chert,3
209,Yellow Chert,3
209,Chinle Chert,5
209,Obsidian,11
209,Petrified Wood,4
210,White Chert,12
210,Red Chert,14
210,Obsidian,6
211,White Chert,6
211,Gray Chert,3
211,Petrified Wood,3
212,White Chert,6
212,Red Chert,2
212,Gray Chert,4
212,Red/White Chert,3
213,White Chert,6
213,Red Chert,3
213,Gray Chert,3
213,Red/White Chert,2
213,Yellow Chert,6
213,Dacite,4
213,Obsidian,7
214,White Chert,9
214,Red Chert,4
214,Gray Chert,3
214,Red/White Chert,7
214,Dacite,2
214,Obsidian,8
215,White Chert,5
215,Red Chert,8
215,Gray Chert,8
215,Obsidian,10
216,White Chert,9
216,Red Chert,5
216,Gray Chert,3
216,Red/White Chert,7
216,Yellow Chert,7
216,Chinle Chert,6
216,Rhyolite,4
216,Obsidian,9
216,Petrified Wood,2
217,White Chert,7
217,Gray Chert,3
217,Red/White Chert,9
217,Yellow Chert,11
217,Chinle Chert,8
217,Obsidian,5
218,White Chert,14
218,Obsidian,8
219,White Chert,6
219,Red Chert,3
219,Obsidian,9
220,White Chert,9
220,Red Chert,2
220,Gray Chert,2
220,Obsidian,4
221,White Chert,11
222,Red Chert,8
222,Gray Chert,2
222,Red/White Chert,9
222,Rhyolite,3
222,Petrified Wood,3
223,White Chert,9
223,Red Chert,5
223,Obsidian,7
224,White Chert,4
224,Red Chert,9
224,Obsidian,7
224,Petrified Wood,4
225,White Chert,6
225,Red Chert,9
225,Gray Chert,8
225,Yellow Chert,3
225,Petrified Wood,3
226,White Chert,5
226,Red Chert,11
226,Red/White Chert,4
226,Obsidian,7
227,White Chert,4
227,Red Chert,8
227,Gray Chert,2
227,Red/White Chert,5
227,Obsidian,4
228,White Chert,6
228,Red Chert,13
228,Gray Chert,5
228,Red/White Chert,4
228,Yellow Chert,6
228,Dacite,3
228,Rhyolite,3
228,Obsidian,6
228,Petrified Wood,4
229,White Chert,7
229,Red Chert,4
229,Gray Chert,6
229,Red/White Chert,4
229,Petrified Wood,5
230,White Chert,11
230,Dacite,7
230,Obsidian,8
231,White Chert,7
231,Red Chert,7
231,Gray Chert,4
231,Red/White Chert,8
231,Yellow Chert,3
231,Dacite,5
231,Obsidian,6
231,Petrified Wood,4
232,White Chert,3
232,Red Chert,11
232,Gray Chert,3
232,Red/White Chert,8
232,Yellow Chert,5
232,Chinle Chert,8
232,Rhyolite,6
233,White Chert,4
233,Red Chert,10
233,Gray Chert,5
233,Red/White Chert,9
233,Yellow Chert,3
233,Chinle Chert,10
233,Rhyolite,4
233,Petrified Wood,3
234,White Chert,10
234,Red Chert,4
234,Gray Chert,8
234,Dacite,6
234,Obsidian,9
235,White Chert,8
235,Petrified Wood,6
236,White Chert,12
236,Obsidian,9
237,White Chert,10
237,Red Chert,5
237,Yellow Chert,4
237,Chinle Chert,3
237,Obsidian,6
238,White Chert,9
238,Red Chert,7
238,Obsidian,22
239,White Chert,6
239,Gray Chert,5
239,Obsidian,12
240,White Chert,6
240,Obsidian,8
241,White Chert,10
241,Red Chert,8
241,Obsidian,6
242,White Chert,6
242,Red Chert,7
242,Gray Chert,3
242,Red/White Chert,7
243,White Chert,8
243,Red Chert,6
243,Red/White Chert,3
243,Obsidian,8
244,White Chert,6
244,Red Chert,3
244,Dacite,4
244,Obsidian,8
245,White Chert,11
245,Gray Chert,6
246,White Chert,9
246,Obsidian,7
247,White Chert,5
247,Chinle Chert,9
248,White Chert,4
248,Red Chert,5
248,Chinle Chert,9
248,Rhyolite,3
249,White Chert,9
249,Red Chert,4
249,Gray Chert,3
249,Red/White Chert,3
249,Obsidian,9
249,Petrified Wood,3
250,White Chert,6
250,Red Chert,7
250,Gray Chert,6
250,Dacite,3
250,Obsidian,6
250,Petrified Wood,3
251,White Chert,9
251,Red Chert,3
251,Red/White Chert,4
251,Obsidian,6
252,White Chert,19
253,White Chert,14
253,Petrified Wood,7
254,White Chert,22
254,Red/White Chert,6
254,Petrified Wood,9
255,White Chert,6
255,Red Chert,5
255,Gray Chert,3
255,Red/White Chert,5
255,Yellow Chert,4
255,Dacite,2
255,Obsidian,9
255,Petrified Wood,9
256,White Chert,23
257,White Chert,8
257,Red Chert,4
257,Gray Chert,5
257,Red/White Chert,3
257,Yellow Chert,4
257,Chinle Chert,4
258,White Chert,17
258,Red Chert,4
258,Red/White Chert,4
258,Petrified Wood,6
259,White Chert,27
259,Red Chert,4
259,Gray Chert,3
259,Red/White Chert,3
259,Petrified Wood,5
260,White Chert,8
260,Obsidian,7
261,White Chert,4
261,Dacite,4
261,Obsidian,6
262,White Chert,7
262,Red Chert,2
262,Dacite,4
262,Obsidian,10
263,White Chert,8
263,Red Chert,4
263,Gray Chert,3
263,Red/White Chert,3
263,Yellow Chert,2
263,Obsidian,7
264,White Chert,9
264,Obsidian,2
265,White Chert,3
265,Red Chert,4
265,Gray Chert,3
265,Obsidian,4
265,Petrified Wood,2
266,White Chert,22
266,Red Chert,4
266,Gray Chert,6
266,Red/White Chert,5
266,Yellow Chert,6
266,Dacite,3
266,Obsidian,11
266,Petrified Wood,4
267,White Chert,17
267,Red Chert,4
267,Gray Chert,9
267,Obsidian,4
268,White Chert,23
269,Dacite,4
269,Obsidian,9
270,White Chert,2
270,Dacite,3
270,Obsidian,8
271,Dacite,2
